,21C2,221E,2240,225D,2266,2289,2329,2396
2022-08-01 00:00:00,63.7,55.8,58.0,55.0,52.0,48.0,46.6,52.1
2022-08-01 00:01:00,63.7,54.5,53.0,54.0,51.5,47.8,46.1,52.1
2022-08-01 00:02:00,63.7,55.6,56.0,56.0,50.4,47.9,44.9,52.1
2022-08-01 00:03:00,63.7,55.2,55.0,55.0,50.0,46.9,45.2,52.1
2022-08-01 00:04:00,63.7,54.5,56.0,51.0,48.0,47.4,45.7,52.1
2022-08-01 00:05:00,63.7,55.8,57.0,56.0,52.0,47.3,45.4,47.0
2022-08-01 00:06:00,63.7,54.7,57.0,51.0,51.0,46.8,45.7,46.0
2022-08-01 00:07:00,63.7,56.0,58.0,56.0,54.0,46.6,46.1,54.0
2022-08-01 00:08:00,63.7,55.8,56.0,57.0,52.0,47.0,44.9,53.0
2022-08-01 00:09:00,63.7,57.7,62.0,60.0,50.0,46.8,44.2,52.0
2022-08-01 00:10:00,63.5,54.0,55.4,52.0,51.0,46.7,44.0,57.0
2022-08-01 00:11:00,63.5,55.5,56.6,57.0,50.0,46.9,44.5,55.0
2022-08-01 00:12:00,63.5,55.2,56.0,56.0,50.0,46.7,45.0,50.0
2022-08-01 00:13:00,63.5,54.6,56.6,54.0,48.6,46.3,43.5,51.0
2022-08-01 00:14:00,63.5,54.3,56.6,53.0,48.8,47.1,43.8,53.0
2022-08-01 00:15:00,63.5,54.9,56.6,55.0,48.7,46.7,44.8,52.0
2022-08-01 00:16:00,63.5,54.6,56.6,54.0,48.7,46.6,44.8,53.0
2022-08-01 00:17:00,63.5,54.3,56.6,53.0,48.7,46.6,44.8,55.0
2022-08-01 00:18:00,63.5,54.6,56.6,54.0,48.7,46.6,44.8,50.0
2022-08-01 00:19:00,63.5,54.3,56.6,53.0,48.7,46.6,44.8,47.0
2022-08-01 00:20:00,62.8,53.0,56.5,51.0,49.5,47.5,45.7,50.0
2022-08-01 00:21:00,62.8,48.0,54.7,55.0,49.5,47.5,45.7,52.0
2022-08-01 00:22:00,62.8,49.0,55.1,53.0,49.5,47.5,45.7,54.0
2022-08-01 00:23:00,62.8,55.0,57.3,56.1,49.5,47.5,45.7,48.0
2022-08-01 00:24:00,62.8,54.0,56.9,55.7,49.5,47.3,45.7,49.0
2022-08-01 00:25:00,62.8,54.1,56.8,55.2,49.5,46.0,45.7,53.8
2022-08-01 00:26:00,62.8,53.0,56.5,55.3,50.2,46.2,45.3,53.8
2022-08-01 00:27:00,62.8,51.0,55.8,54.5,50.4,48.0,45.5,53.8
2022-08-01 00:28:00,62.8,50.0,55.4,54.0,49.5,49.0,44.6,53.8
2022-08-01 00:29:00,62.8,53.0,56.5,55.3,48.8,47.5,43.8,53.8
2022-08-01 00:30:00,62.7,51.0,53.0,55.0,49.1,47.0,44.3,51.3
2022-08-01 00:31:00,62.7,54.4,55.0,56.2,49.1,48.0,44.3,51.3
2022-08-01 00:32:00,62.7,52.9,49.0,56.2,48.9,47.0,44.0,51.3
2022-08-01 00:33:00,62.7,52.2,53.0,56.2,48.7,47.0,43.8,53.4
2022-08-01 00:34:00,62.7,51.6,51.0,57.3,50.5,50.0,44.5,53.4
2022-08-01 00:35:00,62.7,51.6,51.0,57.5,51.2,50.0,45.6,53.2
2022-08-01 00:36:00,62.7,51.0,49.0,56.2,49.2,49.0,45.6,53.0
2022-08-01 00:37:00,62.7,52.5,54.0,57.0,50.7,47.8,45.6,54.0
2022-08-01 00:38:00,62.7,51.4,56.5,57.3,50.9,46.8,45.6,50.0
2022-08-01 00:39:00,62.7,53.1,56.0,57.0,50.7,47.2,45.6,47.0
2022-08-01 00:40:00,62.1,54.0,56.0,56.5,51.4,46.7,44.4,49.0
2022-08-01 00:41:00,62.1,53.0,55.0,56.7,52.1,46.7,44.4,49.0
2022-08-01 00:42:00,62.1,54.0,52.0,57.0,52.1,47.1,44.4,48.0
2022-08-01 00:43:00,62.1,51.0,52.0,50.0,51.9,46.5,45.0,47.0
2022-08-01 00:44:00,62.1,52.0,52.0,57.0,50.5,46.8,45.0,50.0
2022-08-01 00:45:00,62.1,51.0,49.0,52.0,50.5,46.7,44.0,53.7
2022-08-01 00:46:00,62.1,51.0,52.0,54.0,50.5,47.7,44.0,54.0
2022-08-01 00:47:00,62.1,57.0,57.0,53.0,50.5,46.2,44.0,54.0
2022-08-01 00:48:00,62.1,53.0,54.0,53.0,50.5,46.5,43.0,53.7
2022-08-01 00:49:00,62.1,56.0,56.0,55.0,50.5,46.2,44.0,52.2
2022-08-01 00:50:00,61.8,53.0,57.0,54.2,50.1,46.2,44.0,54.3
2022-08-01 00:51:00,61.8,53.0,57.0,52.0,50.1,47.8,44.0,54.3
2022-08-01 00:52:00,61.8,53.0,57.0,52.0,50.1,46.7,45.0,54.6
2022-08-01 00:53:00,61.8,53.0,57.1,58.0,50.1,47.5,44.0,54.3
2022-08-01 00:54:00,61.8,52.0,57.1,53.7,50.1,46.7,45.0,54.3
2022-08-01 00:55:00,61.8,54.0,57.1,54.6,48.9,46.7,44.0,54.6
2022-08-01 00:56:00,61.8,52.0,56.6,53.7,49.8,46.9,45.0,54.3
2022-08-01 00:57:00,61.8,49.0,55.7,52.5,49.6,46.0,45.0,54.3
2022-08-01 00:58:00,61.8,52.0,56.4,53.7,49.4,47.0,44.0,54.6
2022-08-01 00:59:00,61.8,55.0,56.7,55.0,48.9,47.0,43.0,54.6
2022-08-01 01:00:00,61.8,52.0,54.0,54.5,49.7,46.0,44.0,53.6
2022-08-01 01:01:00,61.8,55.0,59.0,55.8,48.1,46.0,44.0,53.6
2022-08-01 01:02:00,61.8,52.0,52.0,54.5,48.1,46.0,45.0,53.6
2022-08-01 01:03:00,61.8,52.0,53.0,56.0,47.0,46.0,44.0,53.9
2022-08-01 01:04:00,61.8,54.0,58.0,57.0,46.0,46.0,44.0,53.9
