Unnamed: 0,21C2,221E,2240,225D,2266,2289,2329,2396
2023-05-01 00:00:00,63.7,56.1,56.4,56.3,51.2,46.4,46.3,52.1
2023-05-01 00:10:00,63.4,55.2,56.6,54.8,48.7,46.6,44.8,52.1
2023-05-01 00:20:00,62.8,54.1,56.8,55.2,49.5,47.5,45.7,53.8
2023-05-01 00:30:00,62.7,51.4,54.9,56.2,49.2,47.1,45.6,51.3
2023-05-01 00:40:00,62.1,54.0,55.0,55.4,50.5,46.5,44.4,52.2
2023-05-01 00:50:00,61.8,53.7,57.6,53.1,50.1,46.5,44.7,53.2
2023-05-01 01:00:00,61.8,53.4,55.4,54.5,48.6,47.0,44.5,52.0
2023-05-01 01:10:00,63.0,51.6,55.2,54.5,49.3,46.4,44.8,50.4
2023-05-01 01:20:00,62.0,53.5,56.1,54.5,48.9,46.5,45.1,51.4
2023-05-01 01:30:00,61.8,53.5,52.9,52.7,48.7,46.4,44.9,51.1
2023-05-01 01:40:00,60.6,50.6,53.5,53.4,48.0,46.2,44.4,51.2
2023-05-01 01:50:00,61.8,51.8,54.6,51.8,48.3,46.4,44.8,50.6
2023-05-01 02:00:00,58.6,50.6,54.5,52.9,49.3,46.4,44.9,50.8
2023-05-01 02:10:00,57.6,51.0,51.8,52.4,50.5,46.2,44.9,50.4
2023-05-01 02:20:00,58.9,50.7,53.4,53.0,50.9,46.0,44.6,50.7
2023-05-01 02:30:00,55.0,49.7,52.8,51.0,50.7,46.1,44.6,50.9
2023-05-01 02:40:00,56.2,52.1,53.5,52.6,48.6,46.0,44.8,52.4
2023-05-01 02:50:00,51.4,52.1,52.7,54.3,47.9,46.0,44.8,51.5
2023-05-01 03:00:00,48.4,50.5,51.2,53.6,48.0,47.2,44.6,52.3
2023-05-01 03:10:00,48.7,51.1,50.4,51.6,48.5,50.2,45.2,52.1
2023-05-01 03:20:00,52.4,54.0,53.4,51.5,49.6,48.3,45.0,51.9
2023-05-01 03:30:00,51.1,53.2,52.2,52.2,47.4,46.4,44.9,51.0
2023-05-01 03:40:00,53.0,54.0,55.6,54.2,47.2,47.2,44.5,52.1
2023-05-01 03:50:00,52.0,54.1,55.6,53.0,47.5,46.4,46.4,50.3
2023-05-01 04:00:00,58.2,51.5,56.6,52.5,48.8,48.8,47.5,51.0
2023-05-01 04:10:00,57.1,53.2,57.0,53.2,50.7,60.1,45.9,50.8
2023-05-01 04:20:00,55.9,56.4,57.6,54.5,54.2,58.5,45.3,51.4
2023-05-01 04:30:00,51.6,56.1,60.4,53.8,50.8,51.5,45.8,50.8
2023-05-01 04:40:00,55.1,57.0,55.2,54.5,52.0,46.4,45.3,51.9
2023-05-01 04:50:00,57.5,56.4,58.2,55.5,50.1,46.8,46.3,53.2
2023-05-01 05:00:00,55.7,58.2,59.2,56.3,50.1,47.1,45.6,55.8
2023-05-01 05:10:00,48.0,51.6,59.3,54.7,51.9,47.2,46.0,54.7
2023-05-01 05:20:00,48.8,52.4,57.4,55.3,52.7,47.2,46.7,53.1
2023-05-01 05:30:00,48.8,53.0,58.2,56.1,51.1,47.0,47.2,55.1
2023-05-01 05:40:00,48.8,54.2,56.6,56.9,49.8,47.0,47.0,55.3
2023-05-01 05:50:00,50.1,55.0,56.9,56.3,53.7,47.6,47.0,57.4
2023-05-01 06:00:00,52.4,54.3,57.8,56.1,54.1,48.6,46.1,56.1
2023-05-01 06:10:00,52.6,55.7,59.2,57.2,53.9,48.0,46.0,57.9
2023-05-01 06:20:00,51.1,55.2,57.8,58.1,52.0,51.0,46.1,58.2
2023-05-01 06:30:00,49.7,56.0,58.5,58.9,53.8,50.2,47.8,57.8
2023-05-01 06:40:00,52.8,56.1,59.1,58.4,53.3,52.0,48.2,58.2
2023-05-01 06:50:00,54.9,57.2,59.8,59.0,54.4,52.5,48.2,57.9
2023-05-01 07:00:00,51.4,56.9,60.0,59.6,55.4,49.9,49.5,59.7
2023-05-01 07:10:00,52.2,57.6,59.2,60.0,54.3,49.2,48.6,61.0
2023-05-01 07:20:00,53.8,60.3,62.1,60.7,55.1,51.0,49.4,62.0
2023-05-01 07:30:00,55.3,60.9,63.4,61.4,54.2,50.2,48.8,62.6
2023-05-01 07:40:00,53.8,59.5,62.7,62.8,56.0,49.4,52.0,63.8
2023-05-01 07:50:00,57.7,60.7,62.1,62.2,56.7,50.0,48.2,63.2
2023-05-01 08:00:00,57.8,61.6,61.8,62.2,55.9,51.5,47.3,63.0
2023-05-01 08:10:00,56.6,62.1,61.9,61.4,56.5,50.6,47.8,63.2
2023-05-01 08:20:00,55.2,59.4,62.9,62.4,56.8,50.5,48.6,63.4
2023-05-01 08:30:00,56.9,60.5,62.8,61.7,56.4,48.4,49.9,64.2
2023-05-01 08:40:00,58.3,60.4,62.4,61.6,56.5,49.6,50.6,64.1
2023-05-01 08:50:00,61.6,59.8,63.2,62.4,58.5,54.6,51.0,63.6
2023-05-01 09:00:00,56.7,60.0,63.8,62.7,58.4,55.0,51.6,63.4
2023-05-01 09:10:00,56.0,60.1,63.0,62.8,58.7,49.7,49.4,63.4
2023-05-01 09:20:00,55.8,60.8,62.4,62.8,56.9,47.7,49.0,64.1
2023-05-01 09:30:00,54.9,60.2,62.4,62.6,56.3,50.5,49.8,63.8
2023-05-01 09:40:00,52.8,61.5,62.4,62.9,57.7,48.4,49.0,63.7
2023-05-01 09:50:00,56.5,61.3,61.6,63.1,57.5,50.9,48.4,64.5
2023-05-01 10:00:00,55.5,60.4,61.1,62.9,59.6,53.3,49.2,63.9
2023-05-01 10:10:00,57.1,60.7,61.7,62.6,56.5,48.5,49.3,63.8
2023-05-01 10:20:00,58.0,61.2,63.2,64.0,55.6,51.5,48.5,64.5
2023-05-01 10:30:00,54.4,61.2,62.8,62.7,56.9,57.2,49.4,64.3
2023-05-01 10:40:00,54.2,60.6,62.5,64.0,56.3,52.8,52.0,65.0
2023-05-01 10:50:00,55.0,61.1,62.7,62.9,56.8,52.6,61.8,64.5
2023-05-01 11:00:00,61.6,61.4,63.2,62.8,56.8,48.6,63.4,65.8
2023-05-01 11:10:00,60.6,60.2,62.1,62.8,54.9,49.5,55.4,64.6
2023-05-01 11:20:00,59.9,60.0,63.5,62.2,57.2,53.2,50.3,64.4
2023-05-01 11:30:00,58.0,66.4,63.3,63.7,56.5,56.9,54.4,63.4
2023-05-01 11:40:00,60.2,63.8,64.3,63.1,56.4,58.5,52.9,65.4
2023-05-01 11:50:00,56.5,62.4,62.4,65.0,56.6,52.0,51.5,64.8
2023-05-01 12:00:00,56.8,63.4,63.4,65.2,57.9,49.6,55.7,65.7
2023-05-01 12:10:00,58.0,62.3,64.4,64.6,56.9,53.3,54.9,68.5
2023-05-01 12:20:00,57.5,61.8,65.1,64.8,56.1,51.6,49.2,65.6
2023-05-01 12:30:00,59.0,63.2,63.6,63.9,56.1,52.9,51.8,65.8
2023-05-01 12:40:00,58.8,62.5,63.6,65.0,57.4,56.3,55.9,66.0
2023-05-01 12:50:00,60.4,63.9,63.7,64.1,57.9,53.2,56.8,64.4
2023-05-01 13:00:00,60.5,63.6,63.0,65.0,56.7,55.6,52.7,65.9
2023-05-01 13:10:00,59.7,62.2,63.9,65.7,58.5,52.7,52.0,66.1
2023-05-01 13:20:00,57.5,62.2,65.6,65.8,57.5,57.5,52.4,66.2
2023-05-01 13:30:00,57.0,63.8,66.4,64.9,57.4,55.6,50.8,67.4
2023-05-01 13:40:00,57.9,64.5,67.7,65.2,57.0,55.3,51.7,68.4
2023-05-01 13:50:00,57.3,60.8,68.2,64.8,57.5,54.7,52.8,68.6
2023-05-01 14:00:00,54.8,61.1,64.5,63.9,57.0,52.8,52.9,67.7
2023-05-01 14:10:00,56.0,62.3,64.7,65.3,58.3,53.8,53.0,65.8
2023-05-01 14:20:00,56.0,62.9,65.8,65.0,56.7,53.8,50.5,66.9
2023-05-01 14:30:00,58.7,64.3,64.9,65.4,57.0,50.6,51.4,66.2
2023-05-01 14:40:00,57.4,63.2,64.8,65.6,58.8,52.8,51.4,67.1
2023-05-01 14:50:00,60.6,63.5,64.8,65.7,57.3,54.2,54.0,67.3
2023-05-01 15:00:00,57.0,64.2,65.9,66.0,55.2,55.9,51.4,65.6
2023-05-01 15:10:00,56.7,62.8,67.6,65.7,57.0,55.4,50.8,65.6
2023-05-01 15:20:00,55.5,62.3,67.4,66.0,55.8,51.9,50.2,69.6
2023-05-01 15:30:00,57.1,63.5,68.6,65.8,56.9,61.2,54.2,64.5
2023-05-01 15:40:00,57.6,62.6,67.6,64.3,56.7,50.6,51.7,66.1
2023-05-01 15:50:00,55.6,62.8,65.7,64.3,59.8,51.6,55.8,64.5
2023-05-01 16:00:00,56.9,63.6,63.6,66.1,59.4,57.8,54.7,65.7
2023-05-01 16:10:00,55.6,64.3,65.3,64.9,58.6,59.1,53.0,65.7
2023-05-01 16:20:00,56.7,62.0,65.8,65.0,58.1,51.0,53.1,66.8
2023-05-01 16:30:00,57.7,62.4,66.0,67.7,57.1,54.5,61.6,65.6
2023-05-01 16:40:00,57.8,63.6,67.3,65.3,58.4,56.8,58.3,64.2
2023-05-01 16:50:00,59.6,61.7,67.0,65.6,56.6,53.4,64.4,66.4
2023-05-01 17:00:00,57.6,65.2,66.5,65.2,57.1,55.0,57.9,64.7
2023-05-01 17:10:00,58.4,63.4,65.6,64.9,57.1,53.1,55.5,65.3
2023-05-01 17:20:00,57.9,63.0,67.4,70.5,57.6,50.8,53.4,65.8
2023-05-01 17:30:00,57.8,63.9,64.4,67.6,56.2,58.5,52.0,65.0
2023-05-01 17:40:00,58.9,63.4,65.0,67.8,56.4,54.2,53.2,64.6
2023-05-01 17:50:00,58.6,62.9,64.4,65.0,55.4,56.2,54.6,65.2
2023-05-01 18:00:00,61.8,62.6,67.4,65.2,55.7,55.6,49.8,67.0
2023-05-01 18:10:00,58.1,62.6,66.0,62.0,56.1,54.9,48.2,65.5
2023-05-01 18:20:00,56.6,62.9,66.5,62.9,57.6,56.7,50.8,63.7
2023-05-01 18:30:00,58.7,62.8,63.9,63.9,56.0,55.7,51.1,63.7
2023-05-01 18:40:00,58.2,63.8,63.0,63.5,57.6,52.8,49.7,63.3
2023-05-01 18:50:00,59.5,59.5,63.5,62.8,54.4,54.2,49.6,62.9
2023-05-01 19:00:00,57.7,61.2,64.0,63.2,54.7,61.4,49.8,61.3
2023-05-01 19:10:00,55.5,60.6,63.1,63.8,55.9,53.1,52.4,62.2
2023-05-01 19:20:00,56.3,61.8,63.2,61.4,56.2,51.4,52.7,63.9
2023-05-01 19:30:00,55.3,59.3,63.4,64.9,55.4,50.3,51.6,61.9
2023-05-01 19:40:00,54.6,59.9,63.9,61.4,54.5,48.8,47.3,61.9
2023-05-01 19:50:00,53.5,58.3,61.5,61.2,54.6,53.6,46.5,61.5
2023-05-01 20:00:00,56.0,58.0,61.2,62.6,54.6,53.0,51.0,61.2
2023-05-01 20:10:00,56.5,58.4,59.9,62.1,54.0,52.4,48.7,60.3
2023-05-01 20:20:00,53.2,60.5,60.2,64.6,53.4,49.5,48.2,60.6
2023-05-01 20:30:00,51.5,58.7,60.1,60.8,54.8,47.2,46.6,61.5
2023-05-01 20:40:00,51.5,57.6,59.5,59.7,53.8,48.9,46.0,60.6
2023-05-01 20:50:00,51.0,59.8,60.2,58.6,53.0,51.0,48.8,59.8
2023-05-01 21:00:00,53.8,58.2,59.1,59.7,52.9,48.7,46.6,59.0
2023-05-01 21:10:00,52.9,58.0,57.9,61.0,53.4,47.1,45.8,57.0
2023-05-01 21:20:00,52.1,57.0,58.7,60.8,54.1,47.7,45.2,59.1
2023-05-01 21:30:00,51.0,57.1,60.2,60.8,51.6,48.4,45.4,57.7
2023-05-01 21:40:00,51.4,58.6,58.4,59.7,51.9,47.5,45.8,59.1
2023-05-01 21:50:00,51.2,57.8,58.9,58.6,51.6,47.7,45.0,57.8
2023-05-01 22:00:00,53.0,57.5,59.2,58.6,53.1,48.0,46.0,57.3
2023-05-01 22:10:00,51.6,57.5,60.5,57.9,52.3,46.1,45.2,57.3
2023-05-01 22:20:00,52.4,58.2,59.9,57.0,52.2,46.8,46.2,57.0
2023-05-01 22:30:00,56.0,59.1,58.8,57.0,51.5,46.2,45.0,56.0
2023-05-01 22:40:00,62.6,54.8,58.0,58.2,51.4,46.8,45.0,56.3
