edges,edges,name,ddB,edB,ndB
"(3234912572, 11792186, 0)","(3234912572, 11792186, 0)",Pärnu mnt,60.97314102564102,57.811217948717946,52.82959935897436
"(5933049338, 31288173, 0)","(5933049338, 31288173, 0)",Georg Otsa,56.258782051282054,54.23674679487179,50.33383012820513
"(58516349, 5933049338, 0)","(58516349, 5933049338, 0)",Estonia pst,58.18013888888888,55.413092948717946,50.755620993589744
"(3231393645, 11792187, 0)","(3231393645, 11792187, 0)",,62.55459935897436,58.66567307692307,53.39179487179488
"(11782733, 11782968, 0)","(11782733, 11782968, 0)",Rannamäe tee,56.11568019943021,54.06043803418803,50.06051282051283
"(2130812487, 602779927, 0)","(2130812487, 602779927, 0)",Paldiski mnt,60.02929843304843,56.47922008547008,51.53327991452991
"(1462644387, 1462644380, 0)","(1462644387, 1462644380, 0)",Allika,55.03415064102564,52.20839743589744,48.926201923076924
"(918384874, 11792495, 0)","(918384874, 11792495, 0)",,62.93090811965813,58.61423076923078,53.66903846153846
"(61896513, 2169511177, 0)","(61896513, 2169511177, 0)",Artur Kapi,56.05791666666667,53.730240384615385,49.29474358974359
"(10580754, 278202914, 0)","(10580754, 278202914, 0)",,58.88526709401709,55.810769230769225,52.484631410256405
"(27487932, 660434871, 0)","(27487932, 660434871, 0)",A. H. Tammsaare tee,59.68473468660969,57.22661858974359,52.234524572649576
"(11792616, 11792435, 0)","(11792616, 11792435, 0)",,63.15689636752137,59.485464743589745,53.02372596153846
"(10579667, 61899908, 0)","(10579667, 61899908, 0)",Toompuiestee,57.28090811965812,53.80679487179488,49.44612179487179
"(607599215, 929287712, 0)","(607599215, 929287712, 0)",Loode,52.3315438034188,50.19926282051283,47.853557692307696
"(628214826, 628214843, 0)","(628214826, 628214843, 0)",,55.16102564102564,52.030096153846145,48.10450320512821
"(11782968, 277366364, 0)","(11782968, 277366364, 0)",,55.04212606837607,52.969679487179484,50.16530448717949
"(278373179, 312958747, 0)","(278373179, 312958747, 0)",Tehnika,56.65358974358974,54.19016025641025,49.12301282051283
"(312958747, 312958746, 0)","(312958747, 312958746, 0)",,55.77886752136752,54.083942307692304,48.91953525641026
"(57666717, 10579667, 0)","(57666717, 10579667, 0)",,55.84684294871795,53.562964743589745,50.599783653846146
"(11782402, 11782407, 0)","(11782402, 11782407, 0)",Wismari,54.724893162393165,53.14307692307692,47.306858974358974
"(607615156, 61906678, 0)","(607615156, 61906678, 0)",,64.30530982905982,61.93147435897436,55.643317307692314
"(344394983, 5933312936, 0)","(344394983, 5933312936, 0)",Gonsiori,55.44680555555556,51.94852564102564,49.142115384615394
"(11788955, 278373223, 0)","(11788955, 278373223, 0)",,56.13880876068376,53.52467948717948,50.92295673076923
"(82506003, 82509707, 0)","(82506003, 82509707, 0)",Sõpruse pst,52.288621794871794,50.41830128205128,47.73171474358975
"(697894146, 697894135, 0)","(697894146, 697894135, 0)",Tulbi,55.77192307692307,52.48445512820513,49.29246794871795
"(10048057276, 57666717, 0)","(10048057276, 57666717, 0)",Kaarli pst,60.76780982905983,57.775512820512816,52.60270833333333
"(660434870, 27487930, 0)","(660434870, 27487930, 0)",,59.68473468660969,57.22661858974359,52.234524572649576
"(607606367, 607615156, 0)","(607606367, 607615156, 0)",,60.35608974358974,57.847243589743584,51.60155448717949
"(312958747, 11782402, 0)","(312958747, 11782402, 0)",,49.51693376068376,47.54519230769231,45.142147435897435
"(390179838, 488239226, 0)","(390179838, 488239226, 0)",Veetorni,52.00473290598291,48.8436858974359,46.50233974358974
"(401316643, 401316645, 0)","(401316643, 401316645, 0)",Kuke,61.09525641025641,57.89144230769231,52.278173076923075
"(61899904, 8047407214, 0)","(61899904, 8047407214, 0)",Amandus Adamsoni,57.21738247863247,54.41448717948718,49.85996794871795
